Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Campaign Status,Ad Group Status,Status,Comment
SZ_Search_BayArea_ExactPhrase_2026,Noise Compressor Fan,sub zero refrigerator beeping,Phrase,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Noise Compressor Fan | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Noise Compressor Fan,sub zero refrigerator alarm keeps beeping,Exact,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Noise Compressor Fan | Exact
SZ_Search_BayArea_ExactPhrase_2026,Noise Compressor Fan,sub zero refrigerator alarm keeps beeping,Phrase,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Noise Compressor Fan | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Noise Compressor Fan,sub zero refrigerator won t stop beeping,Exact,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Noise Compressor Fan | Exact
SZ_Search_BayArea_ExactPhrase_2026,Noise Compressor Fan,sub zero refrigerator won t stop beeping,Phrase,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Noise Compressor Fan | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,my sub zero refrigerator is not cold enough,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,my sub zero refrigerator is not cold enough,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator not cold,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator not cold,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator not cold enough,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Exact
