Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Campaign Status,Ad Group Status,Status,Comment
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,fix sub zero,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,fix sub zero,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,fix sub zero fridge,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,fix sub zero fridge,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,fix sub zero ice maker,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,fix sub zero ice maker,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,fix sub zero refrigerator,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,fix sub zero refrigerator,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,fixing ice maker on sub zero refrigerator,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,fixing ice maker on sub zero refrigerator,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Freezer Service Core,freezer cold fridge warm sub zero,Exact,32.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Freezer Service Core | Exact
SZ_Search_BayArea_Full_PRO,Freezer Service Core,freezer cold fridge warm sub zero,Phrase,32.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Freezer Service Core | Phrase
SZ_Search_BayArea_Full_PRO,Freezer Service Core,freezer working but not fridge sub zero,Exact,32.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Freezer Service Core | Exact
SZ_Search_BayArea_Full_PRO,Freezer Service Core,freezer working but not fridge sub zero,Phrase,32.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Freezer Service Core | Phrase
SZ_Search_BayArea_Full_PRO,Fridge Warm Freezer Cold,freezer works but sub zero refrigerator is warm,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Fridge Warm Freezer Cold | Exact
SZ_Search_BayArea_Full_PRO,Fridge Warm Freezer Cold,freezer works but sub zero refrigerator is warm,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Fridge Warm Freezer Cold | Phrase
SZ_Search_BayArea_Full_PRO,Fridge Not Cooling,fridge not cooling but light is on sub zero,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Fridge Not Cooling | Exact
SZ_Search_BayArea_Full_PRO,Fridge Not Cooling,fridge not cooling but light is on sub zero,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Fridge Not Cooling | Phrase
